Rk,Player,Season,Age,Tm,Lg,Nat.,Pos,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,PIM,MIN,GPS
468,Petr Mrazek,2012-13,20,DET,NHL,CS,G,2,1,1,0,4,51,47,.922,2.02,0,0,119,0.4
469,Mike Murphy,2011-12,23,CAR,NHL,CA,G,2,0,1,0,0,9,9,1.000,0.00,0,0,36,0.1
470,Jussi Rynnas,2011-12,24,TOR,NHL,FI,G,2,0,1,0,7,40,33,.825,4.24,0,0,99,-0.2
471,Alexander Salak,2009-10,23,FLA,NHL,CS,G,2,0,1,0,6,40,34,.850,5.37,0,0,67,0.0
472,Cory Schneider,2009-10,23,VAN,NHL,US,G,2,0,1,0,5,59,54,.915,3.80,0,0,79,0.4
473,Marek Schwarz,2008-09,22,STL,NHL,CS,G,2,0,0,0,0,5,5,1.000,0.00,0,0,15,0.1
474,Alex Stalock,2012-13,25,SJS,NHL,US,G,2,0,0,1,2,13,11,.846,2.86,0,0,42,0.0
475,Daniel Taylor,2012-13,26,CGY,NHL,GB,G,2,1,1,0,6,68,62,.912,3.00,0,0,120,0.4
476,Dustin Tokarski,2009-10,20,TBL,NHL,CA,G,2,0,0,0,3,16,13,.813,4.09,0,0,44,-0.1
477,Josh Tordjman,2008-09,24,PHX,NHL,CA,G,2,0,2,0,8,62,54,.871,4.07,0,0,118,0.1
478,Sami Aittokallio,2013-14,21,COL,NHL,FI,G,1,0,1,0,3,18,15,.833,4.50,0,0,40,-0.1
479,Sami Aittokallio,2012-13,20,COL,NHL,FI,G,1,0,0,0,2,25,23,.920,2.45,0,0,49,0.2
480,Richard Bachman,2010-11,23,DAL,NHL,US,G,1,0,0,0,0,4,4,1.000,0.00,0,0,10,0.1
481,Johan Backlund,2009-10,28,PHI,NHL,SE,G,1,0,1,0,2,24,22,.917,3.00,0,0,40,0.2
482,Jack Campbell,2013-14,22,DAL,NHL,,G,1,0,1,0,6,47,41,.872,6.00,0,0,60,0.0
483,Matt Climie,2009-10,26,DAL,NHL,CA,G,1,0,1,0,5,38,33,.868,5.00,0,0,60,0.0
484,Matt Climie,2010-11,27,PHX,NHL,CA,G,1,0,0,0,1,16,15,.938,1.88,0,0,32,0.1
485,Corey Crawford,2009-10,25,CHI,NHL,CA,G,1,0,1,0,3,35,32,.914,3.05,0,0,59,0.2
486,John Curry,2009-10,25,PIT,NHL,US,G,1,0,1,0,5,14,9,.643,12.50,0,0,24,-0.4
487,Yann Danis,2011-12,30,EDM,NHL,CA,G,1,0,0,0,2,12,10,.833,3.75,0,0,32,0.0
488,Mark Dekanich,2010-11,24,NSH,NHL,CA,G,1,0,0,0,3,25,22,.880,3.60,0,0,50,0.1
489,Marc Denis,2008-09,31,MTL,NHL,CA,G,1,0,0,0,1,7,6,.857,3.00,0,0,20,0.0
490,Cedrick Desjardins,2013-14,28,TBL,NHL,CA,G,1,0,1,0,2,13,11,.846,6.67,0,2,18,0.0
491,Jeremy Duchesne,2009-10,23,PHI,NHL,US,G,1,0,0,0,1,4,3,.750,3.53,0,0,17,-0.1
492,Jhonas Enroth,2009-10,21,BUF,NHL,SE,G,1,0,1,0,4,37,33,.892,4.14,0,0,58,0.1
493,Joacim Eriksson,2013-14,23,VAN,NHL,,G,1,,,,6,31,25,.806,10.00,0,0,36,-0.2
494,Brian Foster,2011-12,24,FLA,NHL,US,G,1,0,0,0,0,1,1,1.000,0.00,0,0,5,0.0
495,Jeff Frazee,2012-13,25,NJD,NHL,US,G,1,0,0,0,0,3,3,1.000,0.00,0,0,19,0.1
496,Kristers Gudlevskis,2013-14,21,TBL,NHL,,G,1,1,0,0,2,38,36,.947,2.00,0,0,60,0.4
497,Matt Hackett,2012-13,22,MIN,NHL,CA,G,1,0,1,0,5,33,28,.848,5.08,0,0,59,0.0
498,Andrew Hammond,2013-14,25,OTT,NHL,,G,1,,,,0,11,11,1.000,0.00,0,0,35,0.2
499,Cal Heeter,2013-14,25,PHI,NHL,,G,1,0,0,1,5,38,33,.868,4.69,0,0,64,0.0
500,Riku Helenius,2008-09,20,TBL,NHL,FI,G,1,0,0,0,0,2,2,1.000,0.00,0,0,7,0.0
501,Magnus Hellberg,2013-14,22,NSH,NHL,,G,1,,,,1,4,3,.750,5.00,0,0,12,-0.1
502,Chris Holt,2008-09,23,STL,NHL,CA,G,1,0,0,0,0,3,3,1.000,0.00,0,0,19,0.0
503,Jimmy Howard,2008-09,24,DET,NHL,US,G,1,0,1,0,4,28,24,.857,4.07,0,0,59,0.0
504,Shawn Hunwick,2011-12,24,CBJ,NHL,US,G,1,0,0,0,0,0,0,,0.00,0,0,3,0.0
505,Carter Hutton,2012-13,27,CHI,NHL,CA,G,1,0,1,0,3,28,25,.893,3.05,0,0,59,0.1
506,Chad Johnson,2010-11,24,NYR,NHL,CA,G,1,0,0,0,2,11,9,.818,6.00,0,0,20,-0.1
507,Anton Khudobin,2011-12,25,BOS,NHL,SU,G,1,1,0,0,1,45,44,.978,1.00,0,0,60,0.6
508,Keith Kinkaid,2012-13,23,NJD,NHL,US,G,1,0,0,0,1,13,12,.923,2.31,0,0,26,0.1
509,Brent Krahn,2008-09,26,DAL,NHL,CA,G,1,0,0,0,3,9,6,.667,9.00,0,0,20,-0.2
510,Nathan Lawson,2013-14,30,OTT,NHL,CA,G,1,,,,2,10,8,.800,10.00,0,0,12,-0.1
511,Michael Leighton,2010-11,29,PHI,NHL,CA,G,1,1,0,0,4,36,32,.889,4.00,0,0,60,0.1
512,Michael Leighton,2012-13,31,PHI,NHL,CA,G,1,0,1,0,5,26,21,.808,5.08,0,0,59,-0.2
513,David LeNeveu,2010-11,27,CBJ,NHL,CA,G,1,0,0,0,2,12,10,.833,6.00,0,0,20,0.0
514,Peter Mannino,2011-12,27,WPG,NHL,US,G,1,0,0,0,0,4,4,1.000,0.00,0,0,20,0.1
515,Jacob Markstrom,2010-11,21,FLA,NHL,SE,G,1,0,1,0,2,14,12,.857,3.00,0,0,40,0.0
516,Thomas McCollum,2010-11,21,DET,NHL,US,G,1,0,0,0,3,8,5,.625,12.00,0,0,15,-0.2
517,Cristopher Nilstorp,2013-14,29,DAL,NHL,SE,G,1,,,,3,17,14,.824,4.62,0,0,39,-0.1
518,Alexander Pechurski,2009-10,19,PIT,NHL,SU,G,1,0,0,0,1,13,12,.923,1.67,0,0,36,0.1
519,Timo Pielmeier,2010-11,21,ANA,NHL,DE,G,1,0,0,0,5,12,7,.583,7.50,0,0,40,-0.4
520,Tuukka Rask,2008-09,21,BOS,NHL,FI,G,1,1,0,0,0,35,35,1.000,0.00,1,0,60,0.6
521,Jussi Rynnas,2012-13,25,TOR,NHL,FI,G,1,0,0,0,0,6,6,1.000,0.00,0,0,10,0.1
522,Kent Simpson,2013-14,21,CHI,NHL,,G,1,,,,2,7,5,.714,6.00,0,0,20,-0.1
523,Alex Stalock,2010-11,23,SJS,NHL,US,G,1,1,0,0,0,9,9,1.000,0.00,0,0,30,0.1
524,Niklas Svedberg,2013-14,24,BOS,NHL,,G,1,1,0,0,2,35,33,.943,1.97,0,0,61,0.3
525,Iiro Tarkki,2011-12,26,ANA,NHL,FI,G,1,1,0,0,3,10,7,.700,4.39,0,0,41,-0.2
526,Mark Visentin,2013-14,21,PHX,NHL,,G,1,0,1,0,3,32,29,.906,3.05,0,0,59,0.2
527,Matt Zaba,2009-10,26,NYR,NHL,CA,G,1,0,0,0,2,16,14,.875,3.53,0,0,34,0.0
