Action,locked,name,emptySlots,longitude,installed,latitude,temporary,@ID,bikesAvailable
Modified,False,"Queen Street, Bank",16 | 21,-0.0929401,True,51.51155322,False,101,2 | 1
Modified,False,"Jewry Street, Aldgate",10 | 17,-0.076793375,True,51.51340693,False,102,7 | 0
Modified,False,"Vicarage Gate, Kensington",18 | 5,-0.192538767,True,51.50472376,False,103,0 | 13
Added,False,"Crosswall, Tower",33,-0.077121322,True,51.51159481,False,104,0
Added,False,"Westbourne Grove, Bayswater",0,-0.190240716,True,51.51552971,False,105,26
Added,False,"Woodstock Street, Mayfair",21,-0.147301667,True,51.51410514,False,106,0
Added,False,"Finsbury Leisure Centre, St. Luke's",2,-0.09631762699999999,True,51.52600832,False,107,18
Added,False,"Abbey Orchard Street, Westminster",29,-0.132102166,True,51.49812559,False,108,0
Added,False,"Soho Square , Soho",32,-0.132328837,True,51.51563144,False,109,0
Added,False,"Wellington Road, St. John's Wood",6,-0.17252867800000002,True,51.53304322,False,110,11
Added,False,"Park Lane , Hyde Park",2,-0.157275636,True,51.5100172,False,111,26
Added,False,"Stonecutter Street, Holborn",45,-0.105270275,True,51.51580998,False,112,1
Added,False,"
      Gloucester Road (Central), South Kensington
    ",4,-0.183289032,True,51.49646288,False,113,14
Added,False,"
      Park Road (Baker Street), Regent's Park
    ",12,-0.15896364699999999,True,51.52451738,False,114,10
Added,False,"Braham Street, Aldgate",34,-0.07353765400000001,True,51.51423368,False,115,0
Added,False,"Little Argyll Street, West End",21,-0.141423695,True,51.51449962,False,116,0
Added,False,"Lollard Street, Vauxhall",3,-0.114934001,True,51.49288067,False,117,22
Added,False,"Rochester Row, Westminster",12,-0.13547809,True,51.49582705,False,118,1
Added,False,"Bath Street, St. Luke's",11,-0.090847761,True,51.52589324,False,119,7
Added,False,"The Guildhall, Guildhall",17,-0.093080779,True,51.51573534,False,120,0
Added,False,"Baker Street, Marylebone",19,-0.156166631,True,51.51891348,False,121,3
