locked,name,emptySlots,longitude,installed,latitude,temporary,@ID,bikesAvailable
false,"Green Street, Mayfair",15,-0.157436972,true,51.51227622,false,138,4
false,"Chapel Place, Marylebone",29,-0.147203711,true,51.51530805,false,141,0
false,"Finsbury Square , Moorgate",30,-0.085634242,true,51.52096262,false,140,2
false,"Pont Street, Knightsbridge",19,-0.161203828,true,51.4968865,false,143,4
false,"West Cromwell Road, Earl's Court",18,-0.198286569,true,51.49372451,false,142,4
false,"Golden Square, Soho",18,-0.137043852,true,51.5118973,false,129,0
false,"Emperor's Gate, South Kensington",4,-0.185296516,true,51.49536226,false,128,18
false,"Eversholt Street , Camden Town",13,-0.136792671,true,51.53300545,false,131,2
false,"Tower Gardens , Tower",12,-0.075459482,true,51.50950627,false,130,9
false,"Derry Street, Kensington",17,-0.191462381,true,51.50136494,false,133,1
false,"Bethnal Green Road, Shoreditch",35,-0.074754872,true,51.52364804,false,132,0
false,"Clerkenwell Green, Clerkenwell",16,-0.104708922,true,51.52326004,false,135,5
false,"Wapping High Street, Wapping",5,-0.06797,true,51.504904,false,134,15
false,"Hampton Street, Walworth",2,-0.101536865,true,51.49217002,false,152,18
false,"Bayswater Road, Hyde Park",19,-0.174292825,true,51.51183419,false,153,7
false,"Waterloo Station 3, Waterloo",7,-0.11282408,true,51.50379168,false,154,24
false,"Lexham Gardens, Kensington",2,-0.191933711,true,51.49586666,false,155,16
false,"New Kent Road, Borough",1,-0.092921165,true,51.49443626,false,156,32
false,"Wright's Lane, Kensington",37,-0.193068385,true,51.50039792,false,157,0
false,"Trebovir Road, Earl's Court",7,-0.196170309,true,51.49085368,false,158,10
false,"Kennington Cross, Kennington",2,-0.111435796,true,51.48894022,false,144,44
false,"Ilchester Place, Kensington",18,-0.202759212,true,51.50074359,false,145,6
false,"Vauxhall Bridge , Pimlico",7,-0.129361842,true,51.48836528,false,146,28
false,"Portugal Street, Holborn",15,-0.11614642,true,51.51494305,false,147,0
false,"Tachbrook Street, Victoria",1,-0.138364847,true,51.49211134,false,148,15
false,"Kennington Road Post Office, Oval",0,-0.110683213,true,51.48478899,false,149,18
false,"Holy Trinity Brompton, Knightsbridge",21,-0.168917077,true,51.49705603,false,150,7
false,"Chepstow Villas, Notting Hill",16,-0.201554966,true,51.51213691,false,151,8
false,"Collingham Gardens, Earl's Court",0,-0.186753859,true,51.4916156,false,171,14
false,"Hardwick Street, Clerkenwell",19,-0.108068155,true,51.52784273,false,170,11
false,"Porchester Place, Paddington",14,-0.165164288,true,51.51474612,false,169,4
false,"Argyll Road, Kensington",4,-0.195455928,true,51.50040123,false,168,15
false,"Appold Street, Liverpool Street",26,-0.0811189,true,51.52174384,false,175,0
false,"Strand, Strand",36,-0.115163,true,51.512529,false,174,0
false,"Waterloo Roundabout, Waterloo ",3,-0.113001,true,51.50486,false,173,12
